rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,LockStatus,NumOfSats,HDOP,AgeOfDiff,xEast,yNorth,zUp,BaseStationID,NTRIP_Status,MessageDisplay
1722883527671464308,,1,,1722883527,659457206,"""SparkFun GPS Diagnostic""",2,12,0.48,0.0,-50.81870126859832,-153.52143154196114,-10.72405414348747,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883527751813512,,2,,1722883527,751105308,"""SparkFun GPS Diagnostic""",2,12,0.48,0.0,-49.988348193650125,-154.04062933806924,-10.71006014011929,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883527861131046,,3,,1722883527,859830856,"""SparkFun GPS Diagnostic""",2,12,0.48,0.0,-49.14703405465398,-154.5557549029256,-10.701066101461784,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883527969076965,,4,,1722883527,968453407,"""SparkFun GPS Diagnostic""",2,12,0.48,0.0,-48.29602368811075,-155.0712507961493,-10.685072154127216,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883528066098219,,5,,1722883528,65353631,"""SparkFun GPS Diagnostic""",2,12,0.48,0.0,-47.43897067403018,-155.58656158646752,-10.667078310020997,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883528168322929,,6,,1722883528,167407989,"""SparkFun GPS Diagnostic""",2,12,0.48,0.0,-46.57826386656054,-156.10187215662563,-10.655084596004771,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883528267216496,,7,,1722883528,266476631,"""SparkFun GPS Diagnostic""",2,12,0.48,0.0,-45.70772018653926,-156.61088937973653,-10.646090816251068,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883528382548037,,8,,1722883528,381874322,"""SparkFun GPS Diagnostic""",2,12,0.53,0.4,-44.79841141494375,-157.3269080742119,-8.008102035352046,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883528467599386,,9,,1722883528,466217517,"""SparkFun GPS Diagnostic""",2,12,0.53,0.5,-43.85915249862717,-157.90774735903582,-7.80910990486549,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883528565761003,,10,,1722883528,565251111,"""SparkFun GPS Diagnostic""",2,12,0.53,0.6,-42.93745762028252,-158.43564561896034,-7.755116765466295,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883528659852433,,11,,1722883528,658478736,"""SparkFun GPS Diagnostic""",2,12,0.53,0.7,-42.02222627173871,-158.94299694395377,-7.750123332299636,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883528764891416,,12,,1722883528,764427661,"""SparkFun GPS Diagnostic""",2,12,0.53,0.8,-41.095331154279805,-159.44109316066073,-7.757129762685491,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883528865879088,,13,,1722883528,865497350,"""SparkFun GPS Diagnostic""",2,12,0.53,0.9,-40.170403002489486,-159.92530640673468,-7.79213602950178,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883528974032924,,14,,1722883528,972987890,"""SparkFun GPS Diagnostic""",2,12,0.53,1.0,-39.25123624968443,-160.40563265023644,-7.821142405782395,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883529075416799,,15,,1722883529,74240446,"""SparkFun GPS Diagnostic""",2,12,0.53,1.1,-38.32419997600866,-160.88651387543385,-7.859148916299427,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883529165766050,,16,,1722883529,165239334,"""SparkFun GPS Diagnostic""",2,12,0.53,0.2,-37.37903605093081,-161.3657296432911,-7.88015545160454,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883529264207657,,17,,1722883529,263786077,"""SparkFun GPS Diagnostic""",2,12,0.53,0.3,-36.43049944552195,-161.8521639393215,-7.904162326522511,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883529365115521,,18,,1722883529,364237308,"""SparkFun GPS Diagnostic""",2,12,0.53,0.4,-35.47718483745413,-162.33211967397963,-7.933169185149223,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883529465417139,,19,,1722883529,464651823,"""SparkFun GPS Diagnostic""",2,12,0.53,0.5,-34.52176215931472,-162.80411594204566,-7.972176010198918,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883529557149764,,20,,1722883529,556336164,"""SparkFun GPS Diagnostic""",2,12,0.53,0.6,-33.562123629890365,-163.27500150110504,-8.0121829607011,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883529664341284,,21,,1722883529,663881063,"""SparkFun GPS Diagnostic""",2,12,0.53,0.7,-32.587589404595136,-163.74070440731387,-8.049189882075947,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883529765438000,,22,,1722883529,764682531,"""SparkFun GPS Diagnostic""",2,12,0.53,0.8,-31.609260980655364,-164.20862864754145,-8.074197023508257,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883529866517441,,23,,1722883529,865931034,"""SparkFun GPS Diagnostic""",2,12,0.53,0.9,-30.617863643562043,-164.66970426077788,-8.100204109783357,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883529983517362,,24,,1722883529,981857299,"""SparkFun GPS Diagnostic""",2,12,0.53,1.0,-29.617051045915584,-165.1250418771536,-8.12421119150378,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883530067599899,,25,,1722883530,66941022,"""SparkFun GPS Diagnostic""",2,12,0.53,1.1,-28.619189318528072,-165.57834319032574,-8.152218422086948,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883530169323616,,26,,1722883530,168674468,"""SparkFun GPS Diagnostic""",2,12,0.53,1.2,-27.617111616554688,-166.01998286041228,-8.200225518406707,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883530263431035,,27,,1722883530,262750864,"""SparkFun GPS Diagnostic""",2,12,0.53,0.3,-26.60744550425478,-166.45440393979868,-8.239232582815584,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1722883530370398853,,28,,1722883530,369614124,"""SparkFun GPS Diagnostic""",6,12,0.53,0.4,-25.670563605048947,-166.99372348963496,-10.187242880265721,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with RTK"""
1722883530459529052,,29,,1722883530,458980560,"""SparkFun GPS Diagnostic""",6,12,0.53,0.5,-24.63630596243581,-167.41926091302034,-10.179249989523758,"""PSU_TestTrack""",True,"""SparkFun GPS Locked with RTK"""
