rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,note_current_output,mode,time,C1,C2,C3,C4,P1,E1,note_accumulated_error_counts,err_wrong_element_length,err_bad_element_structure,err_failed_time,err_bad_uppercase_character,err_bad_lowercase_character,err_bad_character
1722883526468656558,,1,,1722883526,403012752,"""parsed encoder output""","""----following is current parsed message----""","""N""",883695,-11110766,11307901,0,0,248,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883526503164970,,2,,1722883526,502963304,"""parsed encoder output""","""----following is current parsed message----""","""N""",883795,-11129262,11326715,0,0,223,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883526603794367,,3,,1722883526,603109598,"""parsed encoder output""","""----following is current parsed message----""","""N""",883895,-11147977,11345650,0,0,237,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883526703394268,,4,,1722883526,702995061,"""parsed encoder output""","""----following is current parsed message----""","""N""",883995,-11166714,11364722,0,0,221,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883526803236219,,5,,1722883526,802952527,"""parsed encoder output""","""----following is current parsed message----""","""N""",884095,-11185581,11383834,0,0,229,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883526903427596,,6,,1722883526,903032779,"""parsed encoder output""","""----following is current parsed message----""","""N""",884195,-11204481,11403076,0,0,214,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883527003254533,,7,,1722883527,2933025,"""parsed encoder output""","""----following is current parsed message----""","""N""",884295,-11223567,11422443,0,0,233,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883527103255874,,8,,1722883527,102947235,"""parsed encoder output""","""----following is current parsed message----""","""N""",884395,-11242743,11441934,0,0,215,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883527203617537,,9,,1722883527,203269481,"""parsed encoder output""","""----following is current parsed message----""","""N""",884495,-11262059,11461560,0,0,229,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883527303023866,,10,,1722883527,302805662,"""parsed encoder output""","""----following is current parsed message----""","""N""",884595,-11281501,11481268,0,0,213,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883527403131224,,11,,1722883527,402840375,"""parsed encoder output""","""----following is current parsed message----""","""N""",884695,-11301056,11501099,0,0,227,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883527503073570,,12,,1722883527,502832412,"""parsed encoder output""","""----following is current parsed message----""","""N""",884795,-11320770,11521011,0,0,204,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883527604149549,,13,,1722883527,603512048,"""parsed encoder output""","""----following is current parsed message----""","""N""",884895,-11340574,11541029,0,0,234,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883527703311976,,14,,1722883527,702972173,"""parsed encoder output""","""----following is current parsed message----""","""N""",884995,-11360475,11561148,0,0,236,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883527803297780,,15,,1722883527,802935361,"""parsed encoder output""","""----following is current parsed message----""","""N""",885095,-11380473,11581361,0,0,233,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883527903471262,,16,,1722883527,903043031,"""parsed encoder output""","""----following is current parsed message----""","""N""",885195,-11400594,11601628,0,0,236,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883528004032932,,17,,1722883528,3364324,"""parsed encoder output""","""----following is current parsed message----""","""N""",885295,-11420781,11622037,0,0,222,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883528103555227,,18,,1722883528,103105545,"""parsed encoder output""","""----following is current parsed message----""","""N""",885395,-11441110,11642565,0,0,235,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883528187813745,,19,,1722883528,187047243,"""parsed encoder output""","""----following is current parsed message----""","""T""",885478,-11458162,11659813,0,0,238,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883528197504910,,20,,1722883528,196953296,"""parsed encoder output""","""----following is current parsed message----""","""T""",885488,-11460221,11661885,0,0,268,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
1722883528207510868,,21,,1722883528,206927776,"""parsed encoder output""","""----following is current parsed message----""","""T""",885498,-11462283,11663964,0,0,305,33,"""----following are accumulated error counts----""",0,0,0,0,0,0
